#{"t_start": 1756031459.35525, "env_id": "None"}
r,l,t
0.0,207,414.507067
0.0,32,414.691303
2.0,46,414.787012
0.0,2,414.805766
2.0,58,414.858928
0.0,5,414.89848
0.0,21,414.978973
0.0,63,415.006052
0.0,12,415.100112
0.0,50,415.318613
0.0,26,415.318669
0.0,103,415.535563
0.0,1,415.54854
0.0,33,415.602274
0.0,16,415.740705
0.0,140,527.943386
0.0,6,527.993258
0.0,112,528.047424
0.0,88,528.073201
0.0,17,528.175625
0.0,25,528.256176
0.0,25,528.439336
0.0,61,528.451167
0.0,3,528.476653
0.0,3,528.508626
0.0,127,528.541442
0.0,12,528.631942
0.0,2,528.651395
0.0,63,528.670525
0.0,17,528.779215
0.0,22,528.949792
0.0,65,528.961701
0.0,9,529.030603
0.0,49,529.049567
0.0,42,529.357314
0.0,48,529.390247
0.0,118,529.415863
0.0,30,529.606817
0.0,6,529.660238
0.0,54,529.817134
0.0,26,530.012327
0.0,96,530.082268
0.0,1,530.092808
0.0,78,530.246963
0.0,29,530.307067
0.0,12,530.339559
0.0,6,530.386275
0.0,210,530.528881
0.0,71,530.548243
0.0,28,530.594295
0.0,49,530.677912
0.0,59,530.974028
0.0,58,531.116921
0.0,20,531.263855
0.0,2,531.28365
0.0,3,531.30905
0.0,3,531.334458
0.0,101,531.377649
0.0,47,531.69457
0.0,163,531.802275
1.0,66,531.875338
0.0,24,532.053517
0.0,2,532.072051
0.0,3,532.097321
0.0,4,532.147321
0.0,149,532.147387
0.0,27,532.339909
0.0,50,532.706547
0.0,162,532.91258
0.0,159,532.986851
0.0,7,533.039757
0.0,53,533.096192
0.0,37,533.19151
0.0,32,533.280891
0.0,28,533.401779
0.0,2,533.420471
0.0,3,533.452046
0.0,182,533.499463
0.0,36,533.566469
0.0,65,533.599179
0.0,18,533.642148
0.0,5,533.642213
0.0,31,533.808866
0.0,37,533.916745
0.0,42,533.965426
0.0,5,533.965485
0.0,22,534.006705
0.0,3,534.03542
0.0,6,534.087292
0.0,33,534.326146
0.0,117,534.379843
0.0,57,534.425858
0.0,16,534.548325
0.0,75,534.568079
0.0,12,534.650639
0.0,18,534.728303
0.0,47,534.77212
0.0,22,534.844936
0.0,22,535.026703
0.0,108,535.228467
0.0,81,535.403988
0.0,9,535.471081
0.0,87,535.489964
0.0,63,535.705827
0.0,35,535.745255
0.0,2,535.767477
0.0,39,535.767535
0.0,8,535.779208
0.0,4,535.804557
0.0,1,535.824529
0.0,5,535.863828
0.0,16,535.91767
0.0,3,535.943191
0.0,12,535.961944
0.0,6,535.997104
0.0,8,536.029639
0.0,2,536.048296
1.0,190,536.504876
0.0,78,536.618964
0.0,13,536.619017
0.0,152,536.918159
0.0,49,536.971654
0.0,58,537.038331
0.0,17,537.050315
0.0,14,537.15126
0.0,14,537.252347
0.0,37,537.252411
0.0,2,537.271112
0.0,4,537.312909
0.0,13,537.377574
0.0,68,537.576754
0.0,24,537.747097
0.0,6,537.80527
0.0,253,537.892174
0.0,98,538.495438
0.0,90,538.527832
0.0,185,538.707885
0.0,1,538.720128
0.0,37,538.801506
0.0,8,538.863317
0.0,9,538.943106
0.0,29,538.955083
0.0,3,538.980706
0.0,12,539.073424
0.0,78,539.105772
0.0,18,539.240404
0.0,11,539.321518
0.0,2,539.356178
0.0,22,539.539664
0.0,14,539.644771
1.0,87,539.644861
0.0,1,539.656748
1.0,312,539.682223
0.0,8,539.741778
0.0,34,539.900104
0.0,35,539.91862
0.0,113,539.964911
0.0,14,540.015612
0.0,40,540.050964
0.0,5,540.070485
0.0,3,540.089976
0.0,7,540.154775
0.0,26,540.154834
0.0,2,540.185696
0.0,76,540.600587
0.0,3,540.628696
0.0,3,540.660124
0.0,64,540.682591
0.0,71,540.757186
0.0,12,540.785831
0.0,17,540.824653
0.0,11,540.886994
0.0,15,540.899107
0.0,6,540.945573
0.0,3,540.971393
0.0,13,540.997811
0.0,14,541.113503
0.0,27,541.200822
1.0,104,541.96133
1.0,246,542.028885
1.0,25,542.144395
0.0,182,542.20693
0.0,9,542.218748
0.0,5,542.25167
0.0,30,542.263531
0.0,2,542.275353
0.0,3,542.295277
0.0,4,542.315125
0.0,3,542.327391
0.0,1,542.343792
0.0,18,542.394371
0.0,2,542.420725
0.0,18,542.497027
1.0,215,542.804057
0.0,2,542.828872
0.0,62,542.945472
0.0,17,542.980409
0.0,14,543.060085
0.0,71,543.089972
0.0,1,543.104714
0.0,30,543.227141
0.0,20,543.259923
0.0,5,543.274192
0.0,4,543.299744
0.0,21,543.45238
0.0,63,543.731711
0.0,189,642.884079
0.0,12,642.975172
0.0,21,643.12857
1.0,144,643.176236
0.0,6,643.236251
0.0,114,643.333111
0.0,86,643.414117
0.0,6,643.48612
0.0,7,643.543747
0.0,54,643.5833
2.0,37,643.64929
0.0,8,643.709655
0.0,20,643.750386
0.0,5,643.76221
0.0,31,643.812512
0.0,27,643.982775
0.0,123,644.221698
0.0,57,644.392356
0.0,9,644.460069
0.0,34,644.471965
0.0,18,644.605903
0.0,118,644.649987
0.0,30,644.696111
0.0,5,644.74766
0.0,128,644.790833
0.0,19,644.817122
0.0,15,644.904678
0.0,3,644.930305
0.0,9,644.997038
0.0,25,645.008876
0.0,2,645.032759
0.0,35,645.032826
0.0,10,645.121227
0.0,64,645.1467
0.0,2,645.176971
0.0,65,645.582968
0.0,12,645.680061
0.0,13,645.775465
0.0,117,646.03822
0.0,133,646.193056
0.0,158,646.257053
0.0,14,646.310717
0.0,2,646.329698
0.0,50,646.438291
0.0,28,646.575301
