#{"t_start": 1756398273.156778, "env_id": "ALE/MarioBros-v5"}
r,l,t
0.0,1795,4994.936316
0.0,2278,5010.652094
0.0,3138,5031.795809
0.0,2307,5047.046515
0.0,2784,5065.411807
0.0,746,5070.345021
1600.0,2072,5084.703805
800.0,1745,5098.501847
1600.0,3052,5124.772506
0.0,1308,5136.787863
800.0,2487,5159.533446
0.0,1226,5169.681534
0.0,2252,5188.538784
0.0,2300,5209.502557
3200.0,1424,5222.262227
1600.0,398,5224.998568
0.0,1258,5234.485998
0.0,1940,5248.176515
0.0,2314,5267.63807
0.0,1992,5281.112446
0.0,2404,5297.275711
1600.0,1572,5307.774789
0.0,1880,5320.429166
0.0,2310,5336.128528
0.0,2506,5353.040756
0.0,1978,5366.126043
0.0,2506,5383.046059
0.0,2262,5398.395831
1600.0,3074,5419.54684
0.0,2180,5434.385946
0.0,2342,5450.358503
0.0,2433,5466.856754
0.0,3319,5489.724918
0.0,3069,5510.498141
0.0,2319,5527.812544
0.0,2300,5545.526159
0.0,2869,5566.387377
800.0,2745,5587.872073
0.0,1024,5594.832673
0.0,2444,5613.809102
0.0,1726,5625.538695
0.0,1567,5636.647458
0.0,2578,5654.792593
0.0,2413,5671.722899
0.0,1984,5685.506428
1600.0,2306,5702.903077
800.0,1500,5713.263125
0.0,1367,5722.140674
0.0,2025,5736.534785
0.0,1536,5748.261996
0.0,2185,5764.4554
0.0,2078,5780.23793
0.0,1889,5793.547163
0.0,3072,5816.537913
0.0,1570,5827.166766
0.0,1528,5837.841996
0.0,2262,5853.453274
0.0,1338,5863.059135
0.0,2444,5879.770731
0.0,2137,5896.456496
0.0,1859,5913.166994
0.0,3085,5940.95289
0.0,2514,5959.810171
0.0,1861,5973.38415
0.0,2408,5990.225903
0.0,3760,6018.152278
0.0,1292,6027.912803
0.0,2929,6052.065053
0.0,3207,6094.611191
0.0,994,6104.351247
800.0,2006,6125.811368
0.0,2252,6145.744293
0.0,1978,6163.921491
0.0,2615,6191.974634
1600.0,2288,6215.211954
800.0,2289,6233.337257
0.0,1370,6243.122224
0.0,3078,6267.184518
0.0,2711,6290.886968
1600.0,3380,6331.365821
0.0,3095,6364.433579
0.0,2272,6384.642089
0.0,2780,6411.789749
0.0,2816,6441.331201
0.0,1389,6453.03883
0.0,3955,6491.134402
1600.0,2454,6519.488486
0.0,2712,6542.622445
0.0,3059,6571.382283
1600.0,3366,6606.425998
0.0,2688,6637.783008
0.0,2080,6659.277045
0.0,3401,6688.41351
0.0,3923,6728.819995
0.0,2709,6761.338053
0.0,3184,6793.062598
0.0,1994,6813.149484
0.0,3374,6844.862901
0.0,3637,6871.440262
0.0,693,6876.100745
800.0,2039,6890.769132
0.0,2434,6907.37412
0.0,3082,6928.650793
0.0,2010,6942.321271
0.0,2185,6957.477618
0.0,3345,6983.039371
0.0,2444,7005.330301
0.0,2941,7030.097782
0.0,2123,7051.030456
0.0,1680,7065.051915
0.0,3182,7096.880251
0.0,2398,7114.335288
0.0,4057,7149.605358
0.0,2599,7171.797611
0.0,2513,7194.56612
