#{"t_start": 1756398273.243715, "env_id": "ALE/MarioBros-v5"}
r,l,t
2400.0,8430,16470.191854
3200.0,3603,16509.236885
2400.0,8237,16594.842497
2400.0,12016,16734.260165
2400.0,8446,16809.302798
1600.0,2004,16825.759766
3200.0,5642,16873.7387
2400.0,2513,16898.62649
4000.0,5605,16946.777937
4000.0,2006,16963.705664
1600.0,4758,17001.804724
1600.0,2818,17024.151228
3200.0,2406,17050.626005
3200.0,4140,17097.082406
3200.0,5230,17148.245321
2400.0,8140,17225.960155
4000.0,3686,17251.011298
3200.0,4195,17278.458583
4000.0,4830,17310.778566
3200.0,3365,17332.81384
4800.0,3928,17359.907646
2400.0,6198,17401.082426
2400.0,5230,17436.080237
3200.0,9878,17503.241863
2400.0,4384,17533.149396
3200.0,9385,18056.974454
3200.0,7422,20449.216148
2400.0,5420,20514.647772
2400.0,4358,21481.237606
1600.0,5660,21541.457596
1600.0,9370,25220.711382
800.0,2492,25253.485916
1600.0,8044,35973.394551
4000.0,5201,36048.528392
3200.0,9660,36177.564285
2400.0,10127,36310.306156
1600.0,10242,36428.572025
2400.0,5376,36476.011135
4800.0,7983,36545.572616
1600.0,8788,36623.507867
1600.0,9900,36710.314366
3200.0,3980,38559.759981
2400.0,5526,38623.34222
2400.0,3056,38654.688311
1600.0,4561,38699.667336
3200.0,11365,38817.233067
2400.0,2309,38840.975662
2400.0,6973,40739.09448
3200.0,8194,40833.135411
2400.0,11918,40956.710199
4000.0,4950,41010.043146
3200.0,4167,42005.654412
4000.0,3637,43129.838996
3200.0,5062,46771.240798
3200.0,6977,50428.825499
2400.0,6231,51934.855847
3200.0,4205,54082.185586
2400.0,4583,56531.330621
3200.0,9893,57717.320121
3200.0,8201,61940.310281
2400.0,5002,68505.087183
3200.0,6481,72543.364223
3200.0,8496,77697.144956
0.0,698,77706.448828
1600.0,6536,77802.134768
3200.0,3971,79274.903944
2400.0,9401,86505.000249
2400.0,5499,86679.608314
2400.0,7487,86754.283949
2400.0,8167,86833.979747
4000.0,5911,86892.199043
3200.0,7518,86968.936732
2400.0,4831,87018.205383
2400.0,8512,87099.335459
2400.0,11797,87211.429924
